City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,ryki,51.6257,21.9327,21.06,49,12,6.15,PL,1675720698
113,pop,40.8736,71.1089,39.69,61,51,5.32,UZ,1675720699
114,shebunino,46.4339,141.8603,17.69,66,95,8.1,RU,1675720700
115,kismayo,-0.3582,42.5454,76.46,87,8,15.64,SO,1675720700
116,tessalit,20.1986,1.0114,75.15,10,99,7.07,ML,1675720701
117,clyde river,70.4692,-68.5914,-27.17,68,20,6.91,CA,1675720318
118,veinticinco de mayo,-35.4323,-60.1727,90.99,35,0,1.99,AR,1675720702
119,cidreira,-30.1811,-50.2056,76.05,71,9,8.72,BR,1675720286
120,ballarat,-37.5662,143.8496,55.58,86,34,3.0,AU,1675720498
121,sao jose da coroa grande,-8.8978,-35.1478,78.17,75,100,8.88,BR,1675720704
122,geraldton,-28.7667,114.6,61.21,88,1,4.61,AU,1675720209
123,bryan,30.6744,-96.37,74.95,55,75,17.27,US,1675720491
124,eyl,7.9803,49.8164,73.85,78,15,14.09,SO,1675720704
125,vaini,-21.2,-175.2,82.56,78,75,5.75,TO,1675720149
126,carnarvon,-24.8667,113.6333,75.25,70,0,19.66,AU,1675720232
127,uppsala,60.0,17.75,29.64,86,100,3.44,SE,1675720705
128,borogontsy,62.6683,131.1683,-44.79,100,100,1.52,RU,1675720706
129,muhos,64.808,25.9931,31.78,93,100,7.94,FI,1675720707
130,berlevag,70.8578,29.0864,39.2,75,75,26.46,NO,1675720364
131,taoudenni,22.6783,-3.9836,68.0,19,100,6.93,ML,1675720220
132,sialkot,32.5101,74.5431,55.22,77,28,6.91,PK,1675720708
133,sabang,5.8933,95.3214,80.04,76,90,7.11,ID,1675720268
134,lufilufi,-13.8745,-171.5986,76.78,75,83,16.98,WS,1675720709
135,riviere-au-renard,48.9957,-64.3971,14.29,79,96,13.2,CA,1675720709
136,gazojak,41.1875,61.4036,36.86,70,100,11.68,TM,1675720710
137,narsaq,60.9167,-46.05,5.22,66,32,8.57,GL,1675720211
138,east london,-33.0153,27.9116,75.18,85,4,16.93,ZA,1675720711
139,rawson,-43.3002,-65.1023,76.17,40,40,24.32,AR,1675720456
140,livingston,55.9029,-3.5226,44.8,82,0,12.66,GB,1675720711
141,kavieng,-2.5744,150.7967,82.04,79,98,10.31,PG,1675720173
142,poykovskiy,61.2333,73.3333,-1.91,84,40,2.24,RU,1675720712
143,yar-sale,66.8333,70.8333,-12.33,100,90,5.28,RU,1675720269
144,saint-augustin,51.226,-58.6502,-2.51,87,86,5.53,CA,1675720378
145,yellowknife,62.456,-114.3525,-8.88,70,75,4.61,CA,1675720647
146,tiksi,71.6872,128.8694,-32.12,100,89,4.88,RU,1675720182
147,port alfred,-33.5906,26.891,74.88,90,100,14.74,ZA,1675720500
148,port augusta,-32.5,137.7667,76.15,34,0,7.56,AU,1675720438
149,lubao,14.9167,120.55,78.51,88,85,5.39,PH,1675720715
150,jamestown,42.097,-79.2353,31.01,93,100,5.75,US,1675720429
151,leo,11.1,-2.1,80.13,15,100,4.0,BF,1675720715
152,olafsvik,64.8945,-23.7142,31.86,56,100,39.12,IS,1675720716
153,ruza,55.699,36.1952,7.38,99,81,3.11,RU,1675720717
154,aldan,58.6031,125.3894,-41.37,95,44,4.5,RU,1675720717
155,airai,-8.9266,125.4092,60.01,91,78,2.26,TL,1675720718
156,jijiga,9.35,42.8,60.12,17,19,6.98,ET,1675720718
157,haljala,59.4336,26.2614,22.21,95,81,3.24,EE,1675720719
158,asfi,32.2994,-9.2372,56.16,73,0,3.42,MA,1675720719
159,klaksvik,62.2266,-6.589,43.72,69,100,28.66,FO,1675720720
160,hasaki,35.7333,140.8333,43.21,57,100,2.46,JP,1675720720
